"Database","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO-BP","GO:0141193","nuclear receptor-mediated signaling pathway",182,-0.70814488920061,-1.45601696948081,0.00215243973147429,0.443508621316769,0.443508621316769,2358,"tags=9%, list=8%, signal=8%","3952/6899/6422/59344/8284/23532/247/7291/6258/2104/6943/256297/6591/149563/81285/5241",0.431707695803346
"GO-BP","GO:0098926","postsynaptic signal transduction",51,0.685591823234105,1.45487325365047,0.0411153443421828,1,1,2901,"tags=20%, list=10%, signal=18%","1143/85397/4061/375790/55584/1136/432355/59340/1141/1140",0.321775918075361
"GO-BP","GO:0010952","positive regulation of peptidase activity",10,-0.924006669676776,-1.45467528491739,0.0187468927570575,0.892349360171221,0.892349360171221,49,"tags=10%, list=0%, signal=10%","6407",0.352487857583619
"GO-BP","GO:0051123","RNA polymerase II preinitiation complex assembly",62,-0.790075995989288,-1.45253676515785,0.00545989244488366,0.660470317737425,0.660470317737425,415,"tags=3%, list=1%, signal=3%","112488747/112488746",0.407017918923954
"GO-BP","GO:0007492","endoderm development",55,0.665837053983941,1.45216053993458,0.0334624767050118,1,1,748,"tags=7%, list=3%, signal=7%","1295/2626/22943/57057",0.321775918075361
"GO-BP","GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway",68,-0.762059647219874,-1.45140526524217,0.0163100939617958,0.833942195611823,0.833942195611823,2521,"tags=7%, list=9%, signal=7%","167465/6422/8284/6943/149563",0.352487857583619
"GO-BP","GO:0060219","camera-type eye photoreceptor cell differentiation",16,-0.87335201621165,-1.45123016695835,0.0400652309668005,1,1,938,"tags=19%, list=3%, signal=18%","344658/6101/10083",0.321775918075361
"GO-BP","GO:0015698","inorganic anion transport",145,-0.717183121213815,-1.45111547115137,0.00371724375130791,0.527486889621588,0.527486889621588,1918,"tags=14%, list=7%, signal=14%","363/6557/203859/2741/4948/2563/9635/2569/2566/2557/2560/5349/117159/56923/11254/26285/2555/63982/160728/2559/2567",0.431707695803346
"GO-BP","GO:1902305","regulation of sodium ion transmembrane transport",40,-0.799574379840307,-1.45042015101919,0.0174216562502384,0.860834779423543,0.860834779423543,1853,"tags=18%, list=6%, signal=16%","65267/4842/255738/2257/5349/130497/53828",0.352487857583619
"GO-BP","GO:0033363","secretory granule organization",61,-0.767854853047251,-1.45027010037325,0.0123672323187032,0.765466589831312,0.765466589831312,950,"tags=7%, list=3%, signal=6%","84691/284382/283471/1538",0.380730400722792
"GO-BP","GO:0007157","heterophilic cell-cell adhesion",48,-0.800204939654783,-1.4499726502492,0.013191962084955,0.783522596560964,0.783522596560964,2432,"tags=25%, list=8%, signal=23%","1525/257194/81607/2895/4680/402665/5789/50863/869/5670/5673/7369",0.380730400722792
"GO-BP","GO:0098656","monoatomic anion transmembrane transport",129,-0.722830817159449,-1.44803424650372,0.00550391931447854,0.660470317737425,0.660470317737425,1918,"tags=15%, list=7%, signal=14%","363/6557/203859/2741/4948/2563/9635/2569/2566/2557/2560/5349/117159/56923/26285/2555/63982/2559/2567",0.407017918923954
